,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
210,,,20P31A0331,,,R204103H,,,POWER PLANT ENGINEERING,,,19,,,F,,,0,,,
211,,,20P31A0331,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,17,,,F,,,0,,,
212,,,20P31A0332,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,28,,,D,,,3,,,
213,,,20P31A0332,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,18,,,F,,,0,,,
214,,,20P31A0334,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,26,,,F,,,0,,,
215,,,20P31A0335,,,R204103H,,,POWER PLANT ENGINEERING,,,15,,,E,,,3,,,
216,,,20P31A0335,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,15,,,E,,,3,,,
217,,,20P31A0336,,,R204103H,,,POWER PLANT ENGINEERING,,,14,,,F,,,0,,,
218,,,20P31A0336,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,12,,,F,,,0,,,
219,,,20P31A0341,,,R204103H,,,POWER PLANT ENGINEERING,,,21,,,D,,,3,,,
220,,,20P31A0342,,,R204102M,,,FUNDAMENTALS OF ELECTRIC VEHICLES,,,18,,,D,,,3,,,
221,,,20P31A0342,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,12,,,F,,,0,,,
222,,,20P31A0344,,,R204103H,,,POWER PLANT ENGINEERING,,,20,,,F,,,0,,,
223,,,20P31A0344,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,14,,,E,,,3,,,
224,,,20P31A0345,,,R204102M,,,FUNDAMENTALS OF ELECTRIC VEHICLES,,,22,,,ABSENT,,,0,,,
225,,,20P31A0345,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,14,,,ABSENT,,,0,,,
226,,,20P31A0346,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,26,,,D,,,3,,,
227,,,20P31A0346,,,R204103H,,,POWER PLANT ENGINEERING,,,19,,,E,,,3,,,
228,,,20P31A0346,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,13,,,E,,,3,,,
229,,,20P31A0349,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,13,,,F,,,0,,,
230,,,20P31A0351,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,28,,,D,,,3,,,
231,,,20P31A0351,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,16,,,E,,,3,,,
232,,,20P31A0357,,,R204103H,,,POWER PLANT ENGINEERING,,,17,,,F,,,0,,,
